Cell,Browser,Scenario,Device,OSVersion,BrowserVersion,EventID,TimestampUTC,ParticipantIDBefore,ParticipantIDAfter,TeamIDBefore,TeamIDAfter,CountryBefore,CountryAfter,FlagBefore,FlagAfter,LeaderBefore,LeaderAfter,ParticipantRowsBefore,ParticipantRowsAfter,CreditsBefore,CreditsAfter,RequestID,HTTPStatus,LatencyMs,Result,Evidence
1,iOS Safari,Fresh join,,,,,,,,,,,,,,,,,,,,,,,,
2,iOS Safari,Slow join,,,,,,,,,,,,,,,,,,,,,,,,
3,iOS Safari,Repeated Join tap,,,,,,,,,,,,,,,,,,,,,,,,
4,iOS Safari,Refresh,,,,,,,,,,,,,,,,,,,,,,,,
5,iOS Safari,Background 30 seconds,,,,,,,,,,,,,,,,,,,,,,,,
6,iOS Safari,Background 5 minutes,,,,,,,,,,,,,,,,,,,,,,,,
7,iOS Safari,Screen lock/unlock,,,,,,,,,,,,,,,,,,,,,,,,
8,iOS Safari,Browser close/reopen,,,,,,,,,,,,,,,,,,,,,,,,
9,iOS Safari,Network lost/restored,,,,,,,,,,,,,,,,,,,,,,,,
10,iOS Safari,Same-name re-login,,,,,,,,,,,,,,,,,,,,,,,,
11,iOS Safari,Leader reconnect,,,,,,,,,,,,,,,,,,,,,,,,
12,iOS Safari,Member reconnect,,,,,,,,,,,,,,,,,,,,,,,,
13,iOS Safari,Two concurrent requests for same participant,,,,,,,,,,,,,,,,,,,,,,,,
14,iOS Chrome,Fresh join,,,,,,,,,,,,,,,,,,,,,,,,
15,iOS Chrome,Slow join,,,,,,,,,,,,,,,,,,,,,,,,
16,iOS Chrome,Repeated Join tap,,,,,,,,,,,,,,,,,,,,,,,,
17,iOS Chrome,Refresh,,,,,,,,,,,,,,,,,,,,,,,,
18,iOS Chrome,Background 30 seconds,,,,,,,,,,,,,,,,,,,,,,,,
19,iOS Chrome,Background 5 minutes,,,,,,,,,,,,,,,,,,,,,,,,
20,iOS Chrome,Screen lock/unlock,,,,,,,,,,,,,,,,,,,,,,,,
21,iOS Chrome,Browser close/reopen,,,,,,,,,,,,,,,,,,,,,,,,
22,iOS Chrome,Network lost/restored,,,,,,,,,,,,,,,,,,,,,,,,
23,iOS Chrome,Same-name re-login,,,,,,,,,,,,,,,,,,,,,,,,
24,iOS Chrome,Leader reconnect,,,,,,,,,,,,,,,,,,,,,,,,
25,iOS Chrome,Member reconnect,,,,,,,,,,,,,,,,,,,,,,,,
26,iOS Chrome,Two concurrent requests for same participant,,,,,,,,,,,,,,,,,,,,,,,,
27,Android Chrome,Fresh join,,,,,,,,,,,,,,,,,,,,,,,,
28,Android Chrome,Slow join,,,,,,,,,,,,,,,,,,,,,,,,
29,Android Chrome,Repeated Join tap,,,,,,,,,,,,,,,,,,,,,,,,
30,Android Chrome,Refresh,,,,,,,,,,,,,,,,,,,,,,,,
31,Android Chrome,Background 30 seconds,,,,,,,,,,,,,,,,,,,,,,,,
32,Android Chrome,Background 5 minutes,,,,,,,,,,,,,,,,,,,,,,,,
33,Android Chrome,Screen lock/unlock,,,,,,,,,,,,,,,,,,,,,,,,
34,Android Chrome,Browser close/reopen,,,,,,,,,,,,,,,,,,,,,,,,
35,Android Chrome,Network lost/restored,,,,,,,,,,,,,,,,,,,,,,,,
36,Android Chrome,Same-name re-login,,,,,,,,,,,,,,,,,,,,,,,,
37,Android Chrome,Leader reconnect,,,,,,,,,,,,,,,,,,,,,,,,
38,Android Chrome,Member reconnect,,,,,,,,,,,,,,,,,,,,,,,,
39,Android Chrome,Two concurrent requests for same participant,,,,,,,,,,,,,,,,,,,,,,,,
40,Android Samsung Internet,Fresh join,,,,,,,,,,,,,,,,,,,,,,,,
41,Android Samsung Internet,Slow join,,,,,,,,,,,,,,,,,,,,,,,,
42,Android Samsung Internet,Repeated Join tap,,,,,,,,,,,,,,,,,,,,,,,,
43,Android Samsung Internet,Refresh,,,,,,,,,,,,,,,,,,,,,,,,
44,Android Samsung Internet,Background 30 seconds,,,,,,,,,,,,,,,,,,,,,,,,
45,Android Samsung Internet,Background 5 minutes,,,,,,,,,,,,,,,,,,,,,,,,
46,Android Samsung Internet,Screen lock/unlock,,,,,,,,,,,,,,,,,,,,,,,,
47,Android Samsung Internet,Browser close/reopen,,,,,,,,,,,,,,,,,,,,,,,,
48,Android Samsung Internet,Network lost/restored,,,,,,,,,,,,,,,,,,,,,,,,
49,Android Samsung Internet,Same-name re-login,,,,,,,,,,,,,,,,,,,,,,,,
50,Android Samsung Internet,Leader reconnect,,,,,,,,,,,,,,,,,,,,,,,,
51,Android Samsung Internet,Member reconnect,,,,,,,,,,,,,,,,,,,,,,,,
52,Android Samsung Internet,Two concurrent requests for same participant,,,,,,,,,,,,,,,,,,,,,,,,
