Filename	DriveFileID	MissionID	ExperienceName	PhysicalObject	AssetID
IMG_9645.HEIC	1efPkrvvpjXOEm4NVqn8L1R2tbXIOudnx	BBU001	Pool Overview	Swimming pool overview	BAYU-DRIVE-IMG-9645
IMG_9651.HEIC	1fDg6dIzV7MI1gO018vSVxxoD5S61hHNZ	BBU002	Grand Stage	Ballroom stage	BAYU-DRIVE-IMG-9651
IMG_9655.HEIC	1JKkrtQF23yXpFjL8l6wCmLE1yIIHQo-Z	BBU003	Orchid Study	Framed orchid artwork	BAYU-DRIVE-IMG-9655
IMG_9666.HEIC	18Ki55UoFMZTCJ44MYn7cg-oTmzCXtg8P	BBU004	Green Urn	Large green ceramic urn	BAYU-DRIVE-IMG-9666
IMG_9667.HEIC	1R58WLDxrR3FoEjIVnKIHSHPJ4hbstyF6	BBU005	Timber Rhythm	Vertical timber screen	BAYU-DRIVE-IMG-9667
IMG_9668.HEIC	1g3kJxlpMmAtSBUzImcfXONx-vrSQBALW	BBU006	Silver Garden Wall	Silver floral wall pattern	BAYU-DRIVE-IMG-9668
IMG_9670.HEIC	1cdqgPOCfsGbBypH5AsZDCILSXAPizHEA	BBU007	Vintage Cabinet	Wooden cabinet	BAYU-DRIVE-IMG-9670
IMG_9681.HEIC	10dJvPr5eXdAoriYKVBMNB3TC2zFokCp-	BBU008	Perak Crest	BPR Perak commemorative plaque	BAYU-DRIVE-IMG-9681
IMG_9682.HEIC	1CqZVO56KUqxj_-yMyt33lXHLCdGvDNAT	BBU009	Merchant Marker	Merchant information plaque	BAYU-DRIVE-IMG-9682
IMG_9683.HEIC	1PKGmvG6SGd-RD6Q6Fqpjk_kVyVRycDw9	BBU010	Rescue Vessel	Display rescue boat	BAYU-DRIVE-IMG-9683
IMG_9685.HEIC	1qCekxdpWFBIoYRVXfr7RCwebxQPlWBW3	BBU011	Terrace Dining Hall	Garden Terrace dining interior	BAYU-DRIVE-IMG-9685
IMG_9686.HEIC	1qMXaekglnqHRTq5YKXnEhCSYdAcOJ2rW	BBU012	Four-Point Light	Four-point ceiling fixture	BAYU-DRIVE-IMG-9686
IMG_9692.HEIC	1KpbsG3rEkRSGTDD0UpQUejvb-ZrU4Cxy	BBU013	Bayu Address Sign	Bayu Management Corporation sign	BAYU-DRIVE-IMG-9692
IMG_9696.HEIC	1pue1S2buykVNyp5y2b0YlTyulEVXWwQ2	BBU014	Seafront Promenade	Paved seafront promenade	BAYU-DRIVE-IMG-9696
IMG_9697.HEIC	1HrmNWE_LZRFaw0klD2y6QSIo4YGj-8zr	BBU015	Swing Frame	Outdoor swing frame	BAYU-DRIVE-IMG-9697
IMG_9699.HEIC	1LLEJyNd88q_Zp6naGF3t3b90HOK7Vk5F	BBU016	Jungle Gym	Outdoor climbing frame	BAYU-DRIVE-IMG-9699
IMG_9700.HEIC	1Nm6t9d60drlPIl3hbwmSgVN7aodt9yO2	BBU017	Service Walkway	Building-side walkway	BAYU-DRIVE-IMG-9700
IMG_9701.HEIC	1VbB2xH3EL0lMI1y9aAL5RSPjlfNKWD0D	BBU018	Horseshoe Pitch	Horseshoe activity lane	BAYU-DRIVE-IMG-9701
IMG_9705.HEIC	1p9d8TPIyngOfqF_8-3YjsllUE898phOy	BBU019	Open Shoreline	Bayu Beach shoreline	BAYU-DRIVE-IMG-9705
IMG_9707.HEIC	1q73mKowvDH2VRNFnwNYEVDLX0iBTkkf1	BBU020	Yacht Club View	Yacht Club building view	BAYU-DRIVE-IMG-9707
IMG_9708.HEIC	1D9x9IaUiSrpYJLhCtBdJIvUcjGtKjpFK	BBU021	Sixty-Metre Marker	Main Entrance 60 m sign	BAYU-DRIVE-IMG-9708
IMG_9709.HEIC	1u2KVBAu0HQEeBNWU4EyhZQ0ixSoa_CJh	BBU022	Hidden Brickwork	Exposed brick section	BAYU-DRIVE-IMG-9709
IMG_9710.HEIC	1kuBn4kMcYDHc5t8Fj6FwOw5oYytkVzUz	BBU023	Timber Grain Wall	Horizontal timber wall	BAYU-DRIVE-IMG-9710
IMG_9714.HEIC	1LsrkNMQZNFcYsnLevczZcB6w4Q9vEU9j	BBU024	Lone Palm	Single palm beside the building	BAYU-DRIVE-IMG-9714
IMG_9715.HEIC	1rUG40AK9vN5fOrjSNroERBTsH8rTiG-g	BBU025	Beachfront Giant	Large beachfront shade tree	BAYU-DRIVE-IMG-9715
IMG_9717.HEIC	1C7vqph9hP6UTKb32Y-e9ngv9Zfcl-tds	BBU026	Tyre Traverse	Tyre activity row	BAYU-DRIVE-IMG-9717
IMG_9718.HEIC	1clcjOXQGTvQkOCjhN4WmKMdd-ZoSiZyg	BBU027	Stone Steps	Stepping-stone activity	BAYU-DRIVE-IMG-9718
IMG_9719.HEIC	1iObMljJVAqXd4Ee4zNfuZrAarYLvT0RA	BBU028	Tyre Hoop	Single upright tyre hoop	BAYU-DRIVE-IMG-9719
IMG_9721.HEIC	1Em-FHS6wdFCw3qhRu2mPUCK2G8lc-iZD	BBU029	Green Platform	Green wooden activity platform	BAYU-DRIVE-IMG-9721
IMG_9722.HEIC	1Ng-YiP2iObyWxYnqFPSPlZ680xFavxH3	BBU030	Balance Beam	Green balance beam	BAYU-DRIVE-IMG-9722
IMG_9724.HEIC	1JT0vcxTk1ZaYq3r0gxhbx4suaC_aCFzQ	BBU031	Feel Well Gate	Feel Well activity gate	BAYU-DRIVE-IMG-9724
IMG_9726.HEIC	1qApLcpNwA6ad69jpPL3E8rN6j4MD0qT4	BBU032	Tree Medallion	Circular marker embedded in tree	BAYU-DRIVE-IMG-9726
IMG_9730.HEIC	1SKzh445Ie_6iQAuF7uyjmnNhQxn-iUfq	BBU033	Termite Mound	Ground termite mound	BAYU-DRIVE-IMG-9730
IMG_9731.HEIC	1aZRdaa26ADrxNApU5UgLOt7VHysZtImt	BBU034	Rope Station	Wall-mounted rope activity station	BAYU-DRIVE-IMG-9731
IMG_9733.HEIC	1AvKzi6tjX785GBhBxZQEFDxolCABSIox	BBU035	Yellow Hydrant	Yellow fire hydrant	BAYU-DRIVE-IMG-9733
IMG_9736.HEIC	1nlWCrWJ0r8LRyfMKvp1RIoEqcA7jaygd	BBU036	Twin Vases	Decorative vase display	BAYU-DRIVE-IMG-9736
IMG_9737.HEIC	1-tFRVX_ddw3U9mVIbMJF060GQNTC4bGs	BBU037	Dome Oven	Outdoor dome oven	BAYU-DRIVE-IMG-9737
IMG_9739.HEIC	1Tkkuc27TVGVSirYQwF-03wSdOfiQ9sWN	BBU038	Terrace Lounge	Covered terrace lounge	BAYU-DRIVE-IMG-9739
IMG_9740.HEIC	18AklBFiFLaSwhTNT8uv8A39-Nb5vl62z	BBU039	Woven Halo	Single woven pendant lamp	BAYU-DRIVE-IMG-9740
IMG_9741.HEIC	1CbVpKOctswQS28GmjnLdsslp-zizsp8J	BBU040	Stage Rig	Black stage lighting rail	BAYU-DRIVE-IMG-9741
IMG_9742.HEIC	1N26InSrP4vbYGrBYekF8MZXochE0Iu20	BBU041	Basket Lights	Cluster of basket pendant lights	BAYU-DRIVE-IMG-9742
IMG_9743.HEIC	1PEy05UtqtP7rlA1UwNYqdY8DE8AfvDu4	BBU042	Bottle Niche	Decorative bottle display	BAYU-DRIVE-IMG-9743
IMG_9744.HEIC	1FB9maRLTIQl7xgaFJBWqNWWuoQKWOX_7	BBU043	Blue Rabbit	Blue rabbit sculpture	BAYU-DRIVE-IMG-9744
IMG_9745.HEIC	1IGruOfxRSc5B3wLDZsWJjmuuZSsJbJkA	BBU044	Garden Boulders	Three garden boulders	BAYU-DRIVE-IMG-9745
IMG_9746.HEIC	1IP_whv3b_2EXq3lSvpPkT3_JDEUSrRYT	BBU045	Tiki Pavilion	Tiki pavilion entrance	BAYU-DRIVE-IMG-9746
