Cell,Browser,Scenario,Status,ParticipantID_before,ParticipantID_after,TeamID_before,TeamID_after,Country_Flag_preserved,Leader_rights_preserved,Duplicate_rows,Duplicate_credits,Latency_ms,Evidence
1,"iOS Safari","Fresh join",BLOCKED,,,,,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,Physical device and production test event unavailable
2,"iOS Safari","Slow join",BLOCKED,,,,,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,Physical device and production test event unavailable
3,"iOS Safari","Repeated Join tap",BLOCKED,,,,,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,Physical device and production test event unavailable
4,"iOS Safari","Refresh",BLOCKED,,,,,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,Physical device and production test event unavailable
5,"iOS Safari","Background 30 seconds",BLOCKED,,,,,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,Physical device and production test event unavailable
6,"iOS Safari","Background 5 minutes",BLOCKED,,,,,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,Physical device and production test event unavailable
7,"iOS Safari","Screen lock and unlock",BLOCKED,,,,,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,Physical device and production test event unavailable
8,"iOS Safari","Browser closed and reopened",BLOCKED,,,,,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,Physical device and production test event unavailable
9,"iOS Safari","Network lost and restored",BLOCKED,,,,,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,Physical device and production test event unavailable
10,"iOS Safari","Same-name re-login",BLOCKED,,,,,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,Physical device and production test event unavailable
11,"iOS Safari","Leader reconnect",BLOCKED,,,,,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,Physical device and production test event unavailable
12,"iOS Safari","Member reconnect",BLOCKED,,,,,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,Physical device and production test event unavailable
13,"iOS Safari","Two concurrent same-participant requests",BLOCKED,,,,,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,Physical device and production test event unavailable
14,"iOS Chrome","Fresh join",BLOCKED,,,,,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,Physical device and production test event unavailable
15,"iOS Chrome","Slow join",BLOCKED,,,,,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,Physical device and production test event unavailable
16,"iOS Chrome","Repeated Join tap",BLOCKED,,,,,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,Physical device and production test event unavailable
17,"iOS Chrome","Refresh",BLOCKED,,,,,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,Physical device and production test event unavailable
18,"iOS Chrome","Background 30 seconds",BLOCKED,,,,,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,Physical device and production test event unavailable
19,"iOS Chrome","Background 5 minutes",BLOCKED,,,,,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,Physical device and production test event unavailable
20,"iOS Chrome","Screen lock and unlock",BLOCKED,,,,,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,Physical device and production test event unavailable
21,"iOS Chrome","Browser closed and reopened",BLOCKED,,,,,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,Physical device and production test event unavailable
22,"iOS Chrome","Network lost and restored",BLOCKED,,,,,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,Physical device and production test event unavailable
23,"iOS Chrome","Same-name re-login",BLOCKED,,,,,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,Physical device and production test event unavailable
24,"iOS Chrome","Leader reconnect",BLOCKED,,,,,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,Physical device and production test event unavailable
25,"iOS Chrome","Member reconnect",BLOCKED,,,,,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,Physical device and production test event unavailable
